date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:55	66667/66667	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2011:44:46%20GMT	https://templates.bwlthemes.com/political_buddies/index.html	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/index.html	(from )
22:18:56	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64b935f3-79df5e91ae0d2d05;gz%22	https://templates.bwlthemes.com/robots.txt		(from )
22:18:57	1584/1584	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Sep%202023%2011:27:13%20GMT	https://templates.bwlthemes.com/political_buddies/images/favicon.png	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/images/favicon.png	(from https://templates.bwlthemes.com/political_buddies/index.html)
22:18:58	121260/121260	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2011:27:13%20GMT	https://templates.bwlthemes.com/political_buddies/libs/bootstrap/styles/bootstrap.min.css	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/libs/bootstrap/styles/bootstrap.min.css	(from https://templates.bwlthemes.com/political_buddies/index.html)
22:18:59	29063/29063	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2011:27:13%20GMT	https://templates.bwlthemes.com/political_buddies/libs/font-awesome/font-awesome.min.css	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/libs/font-awesome/font-awesome.min.css	(from https://templates.bwlthemes.com/political_buddies/index.html)
22:19:00	65181/65181	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2011:27:13%20GMT	https://templates.bwlthemes.com/political_buddies/libs/animate/styles/animate.css	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/libs/animate/styles/animate.css	(from https://templates.bwlthemes.com/political_buddies/index.html)
22:19:01	2941/2941	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2011:27:13%20GMT	https://templates.bwlthemes.com/political_buddies/libs/owl.carousel/styles/owl.carousel.css	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/libs/owl.carousel/styles/owl.carousel.css	(from https://templates.bwlthemes.com/political_buddies/index.html)
22:19:02	1323/1323	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2011:27:13%20GMT	https://templates.bwlthemes.com/political_buddies/libs/owl.carousel/styles/owl.theme.css	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/libs/owl.carousel/styles/owl.theme.css	(from https://templates.bwlthemes.com/political_buddies/index.html)
22:19:03	7970/7970	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2011:27:13%20GMT	https://templates.bwlthemes.com/political_buddies/libs/venobox/styles/venobox.css	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/libs/venobox/styles/venobox.css	(from https://templates.bwlthemes.com/political_buddies/index.html)
22:19:04	117805/117805	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2011:56:57%20GMT	https://templates.bwlthemes.com/political_buddies/css/styles.css	C:/Users/Orange/Desktop/Project5Template/asd/templates.bwlthemes.com/political_buddies/css/styles.css	(from https://templates.bwlthemes.com/political_buddies/index.html)
